#  Nr    Dist               Kx                 Ky                 Kz                 band1(1)           band2(1)           band3(1)           band4(1)           band5(0)           band6(0)           band7(0)           band8(0)           band9(0)           band10(0)          band11(0)          band12(0)         
   0     0.000000000000     0.000000000000     0.000000000000     0.000000000000   -11.746700000000     9.809700000000     9.809700000000     9.809700000000    15.409500000000    15.409500000000    15.409500000000    23.207400000000    29.138300000000    36.377100000000    36.377200000000    37.399800000000
   1     0.012820510000     0.000000000000     0.012820510000     0.018130939119   -11.740600000000     9.783200000000     9.783200000000     9.794500000000    15.404500000000    15.441400000000    15.441400000000    23.212900000000    29.149600000000    35.982800000000    36.384900000000    37.414100000000
   2     0.025641030000     0.000000000000     0.025641030000     0.036261892379   -11.722400000000     9.705500000000     9.705500000000     9.749200000000    15.389700000000    15.535200000000    15.535200000000    23.228500000000    29.183000000000    35.306900000000    36.408000000000    37.457000000000
   3     0.038461540000     0.000000000000     0.038461540000     0.054392831498   -11.691900000000     9.581800000000     9.581800000000     9.674300000000    15.365300000000    15.685900000000    15.685900000000    23.252400000000    29.238400000000    34.593000000000    36.446600000000    37.528400000000
   4     0.051282050000     0.000000000000     0.051282050000     0.072523770616   -11.649300000000     9.419000000000     9.419000000000     9.570700000000    15.331800000000    15.886300000000    15.886300000000    23.281100000000    29.315000000000    33.883500000000    36.500600000000    37.628400000000
   5     0.064102560000     0.000000000000     0.064102560000     0.090654709735   -11.594500000000     9.224000000000     9.224000000000     9.431800000000    15.280800000000    16.125900000000    16.125900000000    23.304900000000    29.407300000000    33.192400000000    36.570000000000    37.756000000000
   6     0.076923080000     0.000000000000     0.076923080000     0.108785662996   -11.527600000000     9.005700000000     9.005700000000     9.273900000000    15.230700000000    16.402600000000    16.402600000000    23.325600000000    29.522100000000    32.538200000000    36.654800000000    37.912700000000
   7     0.089743590000     0.000000000000     0.089743590000     0.126916602114   -11.448600000000     8.769600000000     8.769600000000     9.091000000000    15.173500000000    16.707400000000    16.707400000000    23.331600000000    29.654600000000    31.927900000000    36.755100000000    38.097500000000
   8     0.102564100000     0.000000000000     0.102564100000     0.145047541233   -11.357500000000     8.521100000000     8.521100000000     8.881600000000    15.110100000000    17.035000000000    17.035000000000    23.311300000000    29.803400000000    31.370800000000    36.870800000000    38.310100000000
   9     0.115384620000     0.000000000000     0.115384620000     0.163178494493   -11.254400000000     8.261600000000     8.261600000000     8.652300000000    15.047200000000    17.376800000000    17.376800000000    23.256000000000    29.965100000000    30.879200000000    37.000400000000    38.549500000000
  10     0.128205130000     0.000000000000     0.128205130000     0.181309433612   -11.139200000000     8.000300000000     8.000300000000     8.403800000000    14.973800000000    17.736100000000    17.736100000000    23.160500000000    30.141600000000    30.461900000000    37.147000000000    38.817100000000
  11     0.141025640000     0.000000000000     0.141025640000     0.199440372730   -11.012000000000     7.737200000000     7.737200000000     8.136400000000    14.897200000000    18.107000000000    18.107000000000    23.013900000000    30.125700000000    30.329400000000    37.308900000000    39.111500000000
  12     0.153846150000     0.000000000000     0.153846150000     0.217571311849   -10.873000000000     7.469900000000     7.469900000000     7.845700000000    14.818000000000    18.484600000000    18.484600000000    22.802300000000    29.869400000000    30.526000000000    37.485900000000    39.429900000000
  13     0.166666670000     0.000000000000     0.166666670000     0.235702265110   -10.722000000000     7.209400000000     7.209400000000     7.544600000000    14.737900000000    18.871300000000    18.871300000000    22.545500000000    29.698700000000    30.730300000000    37.678700000000    39.775700000000
  14     0.179487180000     0.000000000000     0.179487180000     0.253833204228   -10.559200000000     6.952600000000     6.952600000000     7.228300000000    14.657400000000    19.263300000000    19.263300000000    22.239000000000    29.604500000000    30.940000000000    37.886900000000    40.145800000000
  15     0.192307690000     0.000000000000     0.192307690000     0.271964143347   -10.384700000000     6.700700000000     6.700700000000     6.898000000000    14.577400000000    19.659200000000    19.659200000000    21.891100000000    29.577600000000    31.153000000000    38.110600000000    40.538900000000
  16     0.205128210000     0.000000000000     0.205128210000     0.290095096607   -10.198400000000     6.454700000000     6.454700000000     6.554700000000    14.498900000000    20.057700000000    20.057700000000    21.511600000000    29.607100000000    31.367100000000    38.349700000000    40.953200000000
  17     0.217948720000     0.000000000000     0.217948720000     0.308226035726   -10.000500000000     6.199300000000     6.215400000000     6.215400000000    14.422700000000    20.457600000000    20.457600000000    21.110300000000    29.682100000000    31.580400000000    38.604000000000    41.386200000000
  18     0.230769230000     0.000000000000     0.230769230000     0.326356974844    -9.791200000000     5.832600000000     5.983600000000     5.983600000000    14.349500000000    20.696000000000    20.857800000000    20.857800000000    29.792700000000    31.790800000000    38.873900000000    41.834600000000
  19     0.243589740000     0.000000000000     0.243589740000     0.344487913963    -9.570300000000     5.455600000000     5.760000000000     5.760000000000    14.280000000000    20.276100000000    21.257200000000    21.257200000000    29.930400000000    31.996400000000    39.159800000000    42.293600000000
  20     0.256410260000     0.000000000000     0.256410260000     0.362618867224    -9.338200000000     5.069000000000     5.544900000000     5.544900000000    14.215100000000    19.856500000000    21.654900000000    21.654900000000    30.088200000000    32.195100000000    39.460600000000    42.756100000000
